Topic,Year,Source,Top_15_Words
Topic_0,1922,Shared,"work, trade, industry, increase, condition, case, production, method, result, amount, year, coal, system, industrial, credit"
Topic_0,1922,COHA,"work, industry, trade, increase, production, case, condition, year, method, result, amount, coal, system, credit, order"
Topic_0,1922,HBR,"increase, production, method, industry, amount, trade, credit, case, result, condition, work, coal, bank, rate, total"
Topic_0,1922,ILR,"industry, trade, increase, work, method, condition, production, case, coal, amount, result, industrial, total, worker, wage"
Topic_0,1927,Shared,"industry, year, increase, credit, result, case, trade, work, country, cost, show, public, effect, period, report"
Topic_0,1927,COHA,"year, industry, increase, credit, result, case, public, work, trade, country, cost, show, price, small, effect"
Topic_0,1927,HBR,"credit, increase, industry, result, price, year, cost, rate, production, case, bank, period, amount, total, method"
Topic_0,1927,ILR,"industry, increase, year, country, result, trade, number, work, rate, case, wage, worker, total, credit, period"
Topic_0,1932,Shared,"increase, production, industry, depression, rate, period, code, economic, cost, work, income, condition, fall, rise, price"
Topic_0,1932,COHA,"increase, production, industry, depression, rate, period, cost, economic, year, income, code, fall, work, price, condition"
Topic_0,1932,HBR,"increase, production, rate, industry, cost, price, depression, period, income, capital, rise, amount, code, reduce, credit"
Topic_0,1932,ILR,"increase, industry, rate, production, period, work, income, economic, depression, rise, total, fall, cost, condition, price"
Topic_0,1937,Shared,"production, loan, industry, increase, condition, depression, economic, trade, industrial, price, state, government, work, power, public"
Topic_0,1937,COHA,"production, loan, industry, increase, economic, condition, depression, state, price, trade, government, power, public, industrial, year"
Topic_0,1937,HBR,"loan, production, price, industry, increase, depression, amount, total, power, credit, method, material, condition, volume, policy"
Topic_0,1937,ILR,"industry, production, increase, loan, total, trade, price, condition, labor, work, economic, worker, wage, country, rate"
Topic_0,1942,Shared,"production, increase, industry, postwar, plan, policy, control, demand, cost, company, rate, plant, result, management, work"
Topic_0,1942,COHA,"production, increase, industry, plan, postwar, policy, control, cost, demand, government, company, rate, year, price, plant"
Topic_0,1942,HBR,"production, increase, industry, postwar, rate, price, cost, plant, plan, policy, demand, control, material, expenditure, capital"
Topic_0,1942,ILR,"production, increase, industry, rate, postwar, labor, work, expenditure, policy, period, price, income, case, cost, wage"
Topic_0,1947,Shared,"increase, industry, cost, production, work, total, plan, employee, result, price, change, company, rate, management, service"
Topic_0,1947,COHA,"increase, industry, cost, production, work, plan, total, price, result, year, employee, change, company, rate, material"
Topic_0,1947,HBR,"cost, increase, production, industry, price, total, rate, plan, company, material, result, amount, market, management, change"
Topic_0,1947,ILR,"increase, industry, total, production, cost, rate, work, wage, price, number, output, worker, result, country, industrial"
Topic_0,1952,Shared,"industry, increase, production, year, cost, work, result, plan, management, company, price, factor, group, level, industrial"
Topic_0,1952,COHA,"industry, increase, year, production, cost, plan, work, result, price, company, management, group, factor, level, program"
