Topic,Word,Selection type,Main source,Score
0,man,persistent source emphasis,COHA,6.147187e-04
0,cost,persistent source emphasis,HBR,4.817310e-03
0,increase,persistent source emphasis,ILR,7.316747e-03
0,price,persistent source emphasis,COHA,5.992734e-04
0,industry,persistent source emphasis,ILR,5.149451e-03
0,people,rising source emphasis,COHA,7.741929e-04
0,company,rising source emphasis,HBR,4.782890e-03
0,market,rising source emphasis,ILR,2.329252e-03
0,internet,rising source emphasis,COHA,2.869360e-04
0,customer,rising source emphasis,HBR,3.002154e-03
0,management,rising source emphasis,ILR,1.663605e-03
12,government,persistent source emphasis,COHA,1.672326e-03
12,organization,persistent source emphasis,HBR,1.394819e-03
12,labor,persistent source emphasis,ILR,8.842913e-03
12,state,persistent source emphasis,COHA,1.430769e-03
12,social,persistent source emphasis,ILR,6.346299e-03
12,industry,rising source emphasis,COHA,3.938471e-04
12,market,rising source emphasis,HBR,1.071835e-03
12,show,rising source emphasis,COHA,3.470047e-04
12,job,rising source emphasis,HBR,6.706646e-04
12,employment,rising source emphasis,ILR,3.149805e-03
15,man,persistent source emphasis,COHA,8.266791e-04
15,company,persistent source emphasis,HBR,5.203548e-03
15,work,persistent source emphasis,ILR,9.192930e-04
15,people,persistent source emphasis,COHA,6.979829e-04
15,manager,persistent source emphasis,HBR,3.049922e-03
15,industry,persistent source emphasis,ILR,6.554794e-04
15,team,rising source emphasis,COHA,5.558899e-04
15,customer,rising source emphasis,HBR,4.882188e-03
15,sale,rising source emphasis,ILR,4.881913e-04
15,business,rising source emphasis,COHA,5.182778e-04
15,approach,rising source emphasis,ILR,1.323445e-04
