Topic,Source,Year,Rank,Word,Beta,Deviation,Score
0,COHA,1922,1,year,6.010310e-03,1.225868e-03,7.367848e-06
0,COHA,1922,2,production,6.908502e-03,6.466373e-04,4.467295e-06
0,COHA,1922,3,man,3.824021e-03,9.319244e-04,3.563699e-06
0,COHA,1922,4,industry,8.338658e-03,4.225038e-04,3.523115e-06
0,COHA,1922,5,public,4.129348e-03,7.994459e-04,3.301191e-06
0,COHA,1922,6,case,6.774825e-03,4.447391e-04,3.013030e-06
0,COHA,1922,7,state,3.871403e-03,7.744271e-04,2.998119e-06
0,COHA,1922,8,credit,4.418314e-03,4.447089e-04,1.964863e-06
0,COHA,1922,9,department,3.092275e-03,6.228827e-04,1.926124e-06
0,COHA,1922,10,work,8.612812e-03,2.180021e-04,1.877611e-06
0,COHA,1922,11,power,2.956025e-03,6.302029e-04,1.862896e-06
0,COHA,1922,12,interest,3.637551e-03,4.772330e-04,1.735959e-06
0,COHA,1922,13,foreign,2.672095e-03,5.358395e-04,1.431814e-06
0,COHA,1922,14,government,2.780225e-03,5.077266e-04,1.411594e-06
0,COHA,1922,15,amount,5.225066e-03,2.676472e-04,1.398474e-06
0,COHA,1927,1,year,1.177055e-02,2.314100e-03,2.723823e-05
0,COHA,1927,2,industry,1.024046e-02,6.069010e-04,6.214943e-06
0,COHA,1927,3,credit,7.917000e-03,6.890637e-04,5.455317e-06
0,COHA,1927,4,public,5.236534e-03,9.986977e-04,5.229714e-06
0,COHA,1927,5,man,3.711379e-03,8.498968e-04,3.154289e-06
0,COHA,1927,6,small,4.316243e-03,7.230446e-04,3.120837e-06
0,COHA,1927,7,state,3.896137e-03,7.820919e-04,3.047137e-06
0,COHA,1927,8,increase,8.537938e-03,3.194809e-04,2.727708e-06
0,COHA,1927,9,power,3.585552e-03,7.001054e-04,2.510264e-06
0,COHA,1927,10,show,4.835521e-03,4.928764e-04,2.383314e-06
0,COHA,1927,11,case,5.657150e-03,3.953087e-04,2.236321e-06
0,COHA,1927,12,price,4.380014e-03,5.031598e-04,2.203847e-06
0,COHA,1927,13,result,7.318509e-03,2.888534e-04,2.113976e-06
0,COHA,1927,14,place,3.443174e-03,5.327312e-04,1.834286e-06
0,COHA,1927,15,production,4.233841e-03,4.183443e-04,1.771203e-06
0,COHA,1932,1,production,1.210712e-02,1.334390e-03,1.615562e-05
0,COHA,1932,2,year,6.585231e-03,1.354143e-03,8.917348e-06
0,COHA,1932,3,increase,1.516711e-02,5.349731e-04,8.113993e-06
0,COHA,1932,4,industry,1.040390e-02,5.930532e-04,6.170065e-06
0,COHA,1932,5,price,6.043967e-03,7.792925e-04,4.710019e-06
0,COHA,1932,6,depression,8.866955e-03,5.008737e-04,4.441224e-06
0,COHA,1932,7,interest,5.620921e-03,7.156651e-04,4.022697e-06
0,COHA,1932,8,fall,6.314311e-03,6.267242e-04,3.957331e-06
0,COHA,1932,9,rate,7.639952e-03,4.257308e-04,3.252563e-06
0,COHA,1932,10,cost,7.161810e-03,4.482390e-04,3.210203e-06
0,COHA,1932,11,policy,5.463106e-03,5.388954e-04,2.944042e-06
0,COHA,1932,12,public,3.767938e-03,7.575762e-04,2.854500e-06
0,COHA,1932,13,government,3.710211e-03,7.291143e-04,2.705168e-06
0,COHA,1932,14,power,3.400907e-03,7.113400e-04,2.419201e-06
0,COHA,1932,15,period,7.296854e-03,3.076512e-04,2.244886e-06
0,COHA,1937,1,production,1.223246e-02,1.401370e-03,1.714221e-05
0,COHA,1937,2,state,6.068117e-03,1.337500e-03,8.116105e-06
0,COHA,1937,3,industry,9.447302e-03,8.030655e-04,7.586802e-06
0,COHA,1937,4,government,5.955007e-03,1.250208e-03,7.444997e-06
0,COHA,1937,5,power,5.768984e-03,1.260464e-03,7.271595e-06
0,COHA,1937,6,public,5.632310e-03,1.199016e-03,6.753229e-06
0,COHA,1937,7,year,5.316198e-03,1.269939e-03,6.751247e-06
0,COHA,1937,8,price,6.048813e-03,8.962816e-04,5.421440e-06
0,COHA,1937,9,federal,4.784483e-03,9.639016e-04,4.611771e-06
0,COHA,1937,10,loan,1.054818e-02,3.912793e-04,4.127283e-06
0,COHA,1937,11,man,3.737373e-03,9.711424e-04,3.629522e-06
0,COHA,1937,12,increase,6.814030e-03,3.891247e-04,2.651507e-06
0,COHA,1937,13,policy,4.766252e-03,5.196454e-04,2.476761e-06
0,COHA,1937,14,economic,6.254164e-03,3.465116e-04,2.167140e-06
0,COHA,1937,15,hand,3.329588e-03,6.181675e-04,2.058243e-06
0,COHA,1942,1,production,1.877534e-02,2.069436e-03,3.885436e-05
0,COHA,1942,2,industry,1.061347e-02,1.035236e-03,1.098745e-05
0,COHA,1942,3,increase,1.086039e-02,7.176744e-04,7.794223e-06
0,COHA,1942,4,year,5.322680e-03,1.327583e-03,7.066297e-06
0,COHA,1942,5,control,6.694294e-03,9.621540e-04,6.440941e-06
0,COHA,1942,6,man,4.905742e-03,1.275193e-03,6.255766e-06
0,COHA,1942,7,plan,7.755348e-03,7.849969e-04,6.087924e-06
0,COHA,1942,8,government,5.411081e-03,1.103043e-03,5.968652e-06
0,COHA,1942,9,policy,6.967709e-03,7.023481e-04,4.893757e-06
0,COHA,1942,10,price,5.309802e-03,8.705030e-04,4.622199e-06
0,COHA,1942,11,public,4.250411e-03,9.008434e-04,3.828955e-06
0,COHA,1942,12,cost,5.730215e-03,5.757916e-04,3.299410e-06
0,COHA,1942,13,interest,5.061187e-03,5.991948e-04,3.032637e-06
0,COHA,1942,14,rate,5.400594e-03,5.178256e-04,2.796566e-06
0,COHA,1942,15,company,5.410487e-03,4.706476e-04,2.546433e-06
0,COHA,1947,1,cost,1.156895e-02,9.159781e-04,1.059690e-05
0,COHA,1947,2,industry,1.161735e-02,8.251891e-04,9.586513e-06
0,COHA,1947,3,production,1.000275e-02,9.290203e-04,9.292754e-06
0,COHA,1947,4,year,5.864232e-03,1.304002e-03,7.646967e-06
0,COHA,1947,5,increase,1.293935e-02,5.474947e-04,7.084228e-06
0,COHA,1947,6,price,6.143500e-03,8.619865e-04,5.295614e-06
0,COHA,1947,7,plan,6.767744e-03,6.855349e-04,4.639525e-06
0,COHA,1947,8,work,7.224677e-03,4.896047e-04,3.537236e-06
0,COHA,1947,9,total,6.580195e-03,4.483801e-04,2.950429e-06
0,COHA,1947,10,small,3.692056e-03,6.522897e-04,2.408290e-06
0,COHA,1947,11,company,5.228268e-03,4.350320e-04,2.274464e-06
0,COHA,1947,12,result,6.138127e-03,2.907529e-04,1.784678e-06
0,COHA,1947,13,material,4.915997e-03,3.554756e-04,1.747517e-06
0,COHA,1947,14,rate,5.100821e-03,3.382200e-04,1.725200e-06
0,COHA,1947,15,change,5.282776e-03,3.104964e-04,1.640283e-06
0,COHA,1952,1,year,9.552750e-03,2.044234e-03,1.952806e-05
0,COHA,1952,2,industry,1.161338e-02,6.865682e-04,7.973376e-06
0,COHA,1952,3,production,9.442429e-03,7.516406e-04,7.097313e-06
0,COHA,1952,4,price,6.199894e-03,7.832069e-04,4.855800e-06
0,COHA,1952,5,increase,1.048055e-02,3.872374e-04,4.058462e-06
0,COHA,1952,6,plan,6.577033e-03,6.111888e-04,4.019809e-06
0,COHA,1952,7,cost,6.657961e-03,4.942757e-04,3.290868e-06
0,COHA,1952,8,company,6.062775e-03,4.954487e-04,3.003794e-06
0,COHA,1952,9,group,5.631682e-03,4.846561e-04,2.729429e-06
0,COHA,1952,10,work,6.377190e-03,3.892728e-04,2.482467e-06
0,COHA,1952,11,show,4.253387e-03,5.165106e-04,2.196919e-06
0,COHA,1952,12,program,4.629295e-03,4.224223e-04,1.955518e-06
0,COHA,1952,13,result,6.240499e-03,2.696346e-04,1.682655e-06
0,COHA,1952,14,control,3.423861e-03,4.646336e-04,1.590841e-06
0,COHA,1952,15,case,4.284889e-03,3.232709e-04,1.385180e-06
0,COHA,1957,1,price,7.925711e-03,1.025426e-03,8.127228e-06
0,COHA,1957,2,man,4.494831e-03,1.089989e-03,4.899314e-06
0,COHA,1957,3,company,9.321045e-03,4.642662e-04,4.327446e-06
0,COHA,1957,4,year,4.198222e-03,9.693305e-04,4.069465e-06
0,COHA,1957,5,industry,7.015951e-03,5.133748e-04,3.601812e-06
0,COHA,1957,6,small,4.210389e-03,7.087211e-04,2.983992e-06
0,COHA,1957,7,show,4.501583e-03,6.144291e-04,2.765904e-06
0,COHA,1957,8,increase,7.256085e-03,3.373823e-04,2.448075e-06
