Topic,Source,Year,Rank,Word,Beta,Deviation,Score
0,HBR,1932,1,increase,1.905786e-02,4.425726e-03,8.434489e-05
0,HBR,1932,2,production,1.402610e-02,3.253359e-03,4.563194e-05
0,HBR,1932,3,price,9.824304e-03,4.559627e-03,4.479516e-05
0,HBR,1932,4,rate,1.113783e-02,3.923602e-03,4.370040e-05
0,HBR,1932,5,cost,1.028905e-02,3.575481e-03,3.678830e-05
0,HBR,1932,6,period,8.852019e-03,1.862817e-03,1.648969e-05
0,HBR,1932,7,income,8.058840e-03,1.941271e-03,1.564439e-05
0,HBR,1952,1,price,1.305882e-02,7.642132e-03,9.979720e-05
0,HBR,1952,2,cost,1.295758e-02,6.793896e-03,8.803247e-05
0,HBR,1952,3,increase,1.493511e-02,4.841804e-03,7.231289e-05
0,HBR,1952,4,production,1.182986e-02,3.139076e-03,3.713482e-05
0,HBR,1952,5,company,8.988290e-03,3.420963e-03,3.074861e-05
0,HBR,1952,6,rate,7.215764e-03,3.567180e-03,2.573993e-05
0,HBR,1952,7,plant,6.934480e-03,3.268912e-03,2.266820e-05
0,HBR,1972,1,cost,1.818681e-02,9.873291e-03,1.795636e-04
0,HBR,1972,2,price,1.336706e-02,8.053228e-03,1.076480e-04
0,HBR,1972,3,company,1.684671e-02,6.280120e-03,1.057994e-04
0,HBR,1972,4,rate,1.282009e-02,6.799398e-03,8.716891e-05
0,HBR,1972,5,increase,1.036077e-02,3.179384e-03,3.294087e-05
0,HBR,1972,6,management,8.721699e-03,1.759354e-03,1.534455e-05
0,HBR,1972,7,total,5.535829e-03,2.586382e-03,1.431777e-05
0,HBR,1987,1,company,3.520325e-02,1.353883e-02,4.766109e-04
0,HBR,1987,2,market,2.108359e-02,4.176034e-03,8.804579e-05
0,HBR,1987,3,price,9.416841e-03,4.521058e-03,4.257408e-05
0,HBR,1987,4,cost,9.123221e-03,4.157355e-03,3.792846e-05
0,HBR,1987,5,manager,1.070818e-02,2.835342e-03,3.036135e-05
0,HBR,1987,6,product,7.570560e-03,2.925347e-03,2.214652e-05
0,HBR,1987,7,management,7.931337e-03,2.052379e-03,1.627811e-05
0,HBR,1997,1,customer,1.514930e-02,5.008349e-03,7.587299e-05
0,HBR,1997,2,product,1.118790e-02,4.119764e-03,4.609149e-05
0,HBR,1997,3,company,9.970682e-03,3.904162e-03,3.892715e-05
0,HBR,1997,4,software,1.274992e-02,2.260602e-03,2.882249e-05
0,HBR,1997,5,brand,7.050420e-03,1.908688e-03,1.345705e-05
0,HBR,1997,6,internet,1.171261e-02,7.397169e-04,8.664016e-06
0,HBR,1997,7,strategy,7.776162e-03,7.332359e-04,5.701761e-06
0,HBR,2017,1,employee,1.302180e-02,3.740575e-03,4.870904e-05
0,HBR,2017,2,company,7.910777e-03,3.967197e-03,3.138361e-05
0,HBR,2017,3,change,9.312132e-03,2.534705e-03,2.360351e-05
0,HBR,2017,4,market,7.635321e-03,2.350659e-03,1.794804e-05
0,HBR,2017,5,organization,9.534390e-03,1.362533e-03,1.299092e-05
0,HBR,2017,6,innovation,6.303121e-03,1.812334e-03,1.142336e-05
0,HBR,2017,7,create,5.684911e-03,1.691696e-03,9.617141e-06
12,ILR,1932,1,social,1.910673e-02,7.649203e-03,1.461513e-04
12,ILR,1932,2,labor,1.927095e-02,7.335083e-03,1.413540e-04
12,ILR,1932,3,organization,1.188632e-02,5.838349e-03,6.939648e-05
12,ILR,1932,4,international,1.027851e-02,4.481346e-03,4.606158e-05
12,ILR,1932,5,work,1.258130e-02,2.881493e-03,3.625292e-05
12,ILR,1932,6,worker,1.299141e-02,2.587790e-03,3.361903e-05
12,ILR,1932,7,condition,1.118321e-02,2.964456e-03,3.315212e-05
12,ILR,1952,1,social,1.881004e-02,8.411597e-03,1.582225e-04
12,ILR,1952,2,labor,1.871517e-02,7.666226e-03,1.434747e-04
12,ILR,1952,3,international,1.690788e-02,7.362998e-03,1.244927e-04
12,ILR,1952,4,conference,8.771404e-03,4.986418e-03,4.373788e-05
12,ILR,1952,5,worker,1.042051e-02,3.657993e-03,3.811815e-05
12,ILR,1952,6,government,1.113513e-02,3.140708e-03,3.497219e-05
12,ILR,1952,7,union,9.176271e-03,2.948685e-03,2.705793e-05
12,ILR,1972,1,labor,2.211150e-02,7.039027e-03,1.556434e-04
12,ILR,1972,2,social,1.841681e-02,6.879439e-03,1.266973e-04
12,ILR,1972,3,international,1.192009e-02,4.651716e-03,5.544889e-05
12,ILR,1972,4,worker,1.268560e-02,2.153049e-03,2.731271e-05
12,ILR,1972,5,country,1.480332e-02,1.472889e-03,2.180365e-05
12,ILR,1972,6,union,6.557037e-03,2.545540e-03,1.669120e-05
12,ILR,1972,7,economic,8.574667e-03,1.781033e-03,1.527177e-05
12,ILR,1987,1,labor,1.344507e-02,5.159151e-03,6.936513e-05
12,ILR,1987,2,international,1.233724e-02,4.979592e-03,6.143443e-05
12,ILR,1987,3,country,1.462097e-02,2.118319e-03,3.097189e-05
12,ILR,1987,4,social,7.817331e-03,3.184938e-03,2.489772e-05
12,ILR,1987,5,sector,1.001006e-02,2.289754e-03,2.292058e-05
12,ILR,1987,6,government,9.554047e-03,2.237175e-03,2.137407e-05
12,ILR,1987,7,rural,6.568035e-03,2.903937e-03,1.907316e-05
12,ILR,1997,1,social,3.064705e-02,1.383012e-02,4.238522e-04
12,ILR,1997,2,labor,2.776974e-02,1.313978e-02,3.648882e-04
12,ILR,1997,3,international,1.849254e-02,8.404223e-03,1.554154e-04
12,ILR,1997,4,worker,1.610779e-02,4.166754e-03,6.711721e-05
12,ILR,1997,5,union,1.097776e-02,4.192824e-03,4.602783e-05
12,ILR,1997,6,employment,1.089349e-02,3.189425e-03,3.474395e-05
12,ILR,1997,7,strike,9.869529e-03,3.197175e-03,3.155462e-05
12,ILR,2017,1,labor,5.574740e-02,2.389183e-02,1.331907e-03
12,ILR,2017,2,employment,1.904969e-02,5.994309e-03,1.141897e-04
12,ILR,2017,3,country,1.576484e-02,3.521533e-03,5.551639e-05
12,ILR,2017,4,social,1.167475e-02,4.521412e-03,5.278633e-05
12,ILR,2017,5,worker,1.421352e-02,3.557394e-03,5.056311e-05
12,ILR,2017,6,international,8.309689e-03,2.939688e-03,2.442789e-05
12,ILR,2017,7,sector,6.775828e-03,2.566258e-03,1.738853e-05
15,HBR,1932,1,company,1.911195e-02,4.446586e-03,8.498291e-05
15,HBR,1932,2,sale,1.480752e-02,5.240942e-03,7.760536e-05
15,HBR,1932,3,stock,1.500308e-02,4.317296e-03,6.477275e-05
15,HBR,1932,4,store,9.159104e-03,2.853791e-03,2.613817e-05
15,HBR,1932,5,sell,9.198895e-03,2.479450e-03,2.280820e-05
15,HBR,1932,6,price,9.754173e-03,2.325387e-03,2.268222e-05
15,HBR,1932,7,corporation,7.601852e-03,1.662318e-03,1.263670e-05
15,HBR,1952,1,company,2.471187e-02,9.765168e-03,2.413156e-04
15,HBR,1952,2,management,1.744988e-02,5.163291e-03,9.009882e-05
15,HBR,1952,3,cost,1.541953e-02,2.758184e-03,4.252989e-05
15,HBR,1952,4,sale,8.431624e-03,3.788137e-03,3.194014e-05
15,HBR,1952,5,plant,8.367125e-03,1.926566e-03,1.611981e-05
15,HBR,1952,6,profit,6.188787e-03,2.190344e-03,1.355557e-05
15,HBR,1952,7,corporation,5.845909e-03,1.983379e-03,1.159466e-05
15,HBR,1972,1,manager,2.809772e-02,9.621914e-03,2.703539e-04
15,HBR,1972,2,company,2.948902e-02,7.158238e-03,2.110894e-04
15,HBR,1972,3,management,1.816750e-02,4.671087e-03,8.486196e-05
15,HBR,1972,4,product,1.367966e-02,3.433648e-03,4.697112e-05
15,HBR,1972,5,performance,1.071539e-02,2.555575e-03,2.738399e-05
15,HBR,1972,6,executive,9.239596e-03,2.436331e-03,2.251072e-05
15,HBR,1972,7,corporate,8.070749e-03,2.626173e-03,2.119518e-05
15,HBR,1987,1,customer,1.372817e-02,4.780350e-03,6.562549e-05
