Topic,Source,Year,Rank,Word,Beta,SourceRank,InSharedTopK
0,COHA,1922,1,man,3.824021e-03,19,False
0,COHA,1922,2,department,3.092275e-03,29,False
0,COHA,1922,3,important,3.077133e-03,30,False
0,COHA,1927,1,man,3.711379e-03,21,False
0,COHA,1927,2,power,3.585552e-03,24,False
0,COHA,1927,3,place,3.443174e-03,25,False
0,COHA,1932,1,credit,4.675010e-03,25,False
0,COHA,1937,1,man,3.737373e-03,27,False
0,COHA,1937,2,material,3.628082e-03,30,False
0,COHA,1942,1,public,4.250411e-03,25,False
0,COHA,1942,2,period,3.602041e-03,30,False
0,COHA,1947,1,small,3.692056e-03,26,False
0,COHA,1952,1,policy,3.677259e-03,26,False
0,COHA,1952,2,operation,3.434794e-03,29,False
0,COHA,1952,3,control,3.423861e-03,30,False
0,COHA,1957,1,control,3.565822e-03,26,False
0,COHA,1957,2,total,3.434577e-03,30,False
0,COHA,1962,1,important,3.234272e-03,28,False
0,COHA,1962,2,production,3.168946e-03,29,False
0,COHA,1967,1,man,3.364608e-03,25,False
0,COHA,1967,2,price,2.910381e-03,30,False
0,COHA,1972,1,show,3.661912e-03,22,False
0,COHA,1972,2,number,3.474068e-03,26,False
0,COHA,1972,3,total,3.318924e-03,28,False
0,COHA,1972,4,important,3.274434e-03,30,False
0,COHA,1977,1,major,3.827432e-03,28,False
0,COHA,1977,2,service,3.570057e-03,30,False
0,COHA,1982,1,information,3.223499e-03,29,False
0,COHA,1982,2,change,3.219128e-03,30,False
0,COHA,1987,1,small,3.265867e-03,28,False
0,COHA,1987,2,rate,3.205616e-03,29,False
0,COHA,1987,3,group,3.169298e-03,30,False
0,COHA,1992,1,state,3.067971e-03,20,False
0,COHA,1992,2,price,2.928914e-03,24,False
0,COHA,1992,3,power,2.871475e-03,26,False
0,COHA,1992,4,case,2.658288e-03,29,False
0,COHA,1997,1,profit,2.174271e-03,28,False
0,COHA,2002,1,people,2.798973e-03,24,False
0,COHA,2002,2,world,2.711088e-03,27,False
0,COHA,2002,3,group,2.654271e-03,29,False
0,COHA,2002,4,set,2.643146e-03,30,False
0,COHA,2007,1,price,4.040907e-03,23,False
0,COHA,2007,2,group,3.987289e-03,24,False
0,COHA,2007,3,industry,3.817345e-03,29,False
0,COHA,2012,1,year,2.262100e-03,11,False
0,COHA,2012,2,return,1.967641e-03,23,False
0,COHA,2012,3,board,1.906617e-03,27,False
0,COHA,2012,4,cost,1.897185e-03,28,False
0,COHA,2017,1,start,3.452004e-03,23,False
0,COHA,2017,2,show,3.373442e-03,27,False
0,HBR,1922,1,bank,4.534849e-03,13,False
0,HBR,1922,2,rate,4.532623e-03,14,False
0,HBR,1922,3,export,4.418086e-03,16,False
0,HBR,1922,4,cost,4.017895e-03,18,False
0,HBR,1922,5,material,3.606289e-03,22,False
0,HBR,1922,6,produce,3.520590e-03,24,False
0,HBR,1922,7,price,3.519053e-03,25,False
0,HBR,1922,8,exchange,3.351709e-03,26,False
0,HBR,1922,9,period,3.264343e-03,27,False
0,HBR,1922,10,depression,3.255781e-03,28,False
0,HBR,1922,11,reduce,3.250553e-03,29,False
0,HBR,1922,12,change,3.223359e-03,30,False
0,HBR,1927,1,bank,4.998215e-03,11,False
0,HBR,1927,2,stock,3.855671e-03,20,False
0,HBR,1927,3,volume,3.820173e-03,21,False
0,HBR,1927,4,loan,3.678393e-03,23,False
0,HBR,1927,5,demand,3.565838e-03,24,False
0,HBR,1927,6,gold,3.495428e-03,25,False
0,HBR,1927,7,wholesale,3.266650e-03,27,False
0,HBR,1927,8,factor,3.223351e-03,28,False
0,HBR,1932,1,credit,5.925015e-03,15,False
0,HBR,1937,1,material,5.334238e-03,12,False
0,HBR,1937,2,rate,5.127027e-03,17,False
0,HBR,1937,3,period,4.558970e-03,22,False
0,HBR,1937,4,income,4.179203e-03,25,False
0,HBR,1937,5,cost,3.976753e-03,29,False
0,HBR,1937,6,produce,3.921869e-03,30,False
