Source,Topic,Year,Top30Overlap,SourceLocalCount,K
COHA,0,1922,0.900000,3,30
COHA,0,1927,0.900000,3,30
COHA,0,1932,0.966667,1,30
COHA,0,1937,0.933333,2,30
COHA,0,1942,0.933333,2,30
COHA,0,1947,0.966667,1,30
COHA,0,1952,0.900000,3,30
COHA,0,1957,0.933333,2,30
COHA,0,1962,0.933333,2,30
COHA,0,1967,0.933333,2,30
COHA,0,1972,0.866667,4,30
COHA,0,1977,0.933333,2,30
COHA,0,1982,0.933333,2,30
COHA,0,1987,0.900000,3,30
COHA,0,1992,0.866667,4,30
COHA,0,1997,0.966667,1,30
COHA,0,2002,0.866667,4,30
COHA,0,2007,0.900000,3,30
COHA,0,2012,0.866667,4,30
COHA,0,2017,0.933333,2,30
COHA,1,1922,0.666667,10,30
COHA,1,1927,0.633333,11,30
COHA,1,1932,0.600000,12,30
COHA,1,1937,0.566667,13,30
COHA,1,1942,0.433333,17,30
COHA,1,1947,0.633333,11,30
COHA,1,1952,0.666667,10,30
COHA,1,1957,0.700000,9,30
COHA,1,1962,0.600000,12,30
COHA,1,1967,0.733333,8,30
COHA,1,1972,0.666667,10,30
COHA,1,1977,0.500000,15,30
COHA,1,1982,0.766667,7,30
COHA,1,1987,0.833333,5,30
COHA,1,1992,0.733333,8,30
COHA,1,1997,0.800000,6,30
COHA,1,2002,0.733333,8,30
COHA,1,2007,0.800000,6,30
COHA,1,2012,0.700000,9,30
COHA,1,2017,0.733333,8,30
COHA,2,1922,0.900000,3,30
COHA,2,1927,0.866667,4,30
COHA,2,1932,0.933333,2,30
COHA,2,1937,0.933333,2,30
COHA,2,1942,0.933333,2,30
COHA,2,1947,0.933333,2,30
COHA,2,1952,0.900000,3,30
COHA,2,1957,0.900000,3,30
COHA,2,1962,0.900000,3,30
COHA,2,1967,0.833333,5,30
COHA,2,1972,0.800000,6,30
COHA,2,1977,0.800000,6,30
COHA,2,1982,0.866667,4,30
COHA,2,1987,0.766667,7,30
COHA,2,1992,0.833333,5,30
COHA,2,1997,0.800000,6,30
COHA,2,2002,0.733333,8,30
COHA,2,2007,0.900000,3,30
COHA,2,2012,0.833333,5,30
COHA,2,2017,0.833333,5,30
COHA,3,1922,0.833333,5,30
COHA,3,1927,0.700000,9,30
COHA,3,1932,0.766667,7,30
COHA,3,1937,0.833333,5,30
COHA,3,1942,0.900000,3,30
COHA,3,1947,0.900000,3,30
COHA,3,1952,0.600000,12,30
COHA,3,1957,0.733333,8,30
COHA,3,1962,0.733333,8,30
COHA,3,1967,0.800000,6,30
COHA,3,1972,0.866667,4,30
COHA,3,1977,0.866667,4,30
COHA,3,1982,0.900000,3,30
COHA,3,1987,0.866667,4,30
COHA,3,1992,0.766667,7,30
COHA,3,1997,0.866667,4,30
COHA,3,2002,0.900000,3,30
COHA,3,2007,0.733333,8,30
COHA,3,2012,0.700000,9,30
COHA,3,2017,0.866667,4,30
COHA,4,1922,0.800000,6,30
COHA,4,1927,0.933333,2,30
COHA,4,1932,0.900000,3,30
COHA,4,1937,0.900000,3,30
COHA,4,1942,0.700000,9,30
COHA,4,1947,0.866667,4,30
COHA,4,1952,0.933333,2,30
COHA,4,1957,0.833333,5,30
COHA,4,1962,0.866667,4,30
COHA,4,1967,0.866667,4,30
COHA,4,1972,0.900000,3,30
COHA,4,1977,0.900000,3,30
COHA,4,1982,0.866667,4,30
COHA,4,1987,0.800000,6,30
COHA,4,1992,0.833333,5,30
COHA,4,1997,0.700000,9,30
COHA,4,2002,0.766667,7,30
COHA,4,2007,0.900000,3,30
COHA,4,2012,0.833333,5,30
COHA,4,2017,0.633333,11,30
COHA,5,1922,0.900000,3,30
COHA,5,1927,0.900000,3,30
COHA,5,1932,0.933333,2,30
COHA,5,1937,0.900000,3,30
COHA,5,1942,0.900000,3,30
COHA,5,1947,0.866667,4,30
COHA,5,1952,0.900000,3,30
COHA,5,1957,0.900000,3,30
COHA,5,1962,0.900000,3,30
COHA,5,1967,0.833333,5,30
COHA,5,1972,0.933333,2,30
COHA,5,1977,0.933333,2,30
COHA,5,1982,0.866667,4,30
COHA,5,1987,0.933333,2,30
COHA,5,1992,0.833333,5,30
COHA,5,1997,0.900000,3,30
COHA,5,2002,0.833333,5,30
COHA,5,2007,0.866667,4,30
COHA,5,2012,0.800000,6,30
COHA,5,2017,0.933333,2,30
COHA,6,1922,0.833333,5,30
COHA,6,1927,0.733333,8,30
COHA,6,1932,0.800000,6,30
COHA,6,1937,0.766667,7,30
COHA,6,1942,0.666667,10,30
COHA,6,1947,0.800000,6,30
COHA,6,1952,0.766667,7,30
COHA,6,1957,0.866667,4,30
COHA,6,1962,0.766667,7,30
COHA,6,1967,0.800000,6,30
COHA,6,1972,0.900000,3,30
COHA,6,1977,0.766667,7,30
COHA,6,1982,0.700000,9,30
COHA,6,1987,0.800000,6,30
COHA,6,1992,0.700000,9,30
COHA,6,1997,0.533333,14,30
COHA,6,2002,0.600000,12,30
COHA,6,2007,0.633333,11,30
COHA,6,2012,0.700000,9,30
COHA,6,2017,0.633333,11,30
COHA,7,1922,0.933333,2,30
COHA,7,1927,0.966667,1,30
COHA,7,1932,0.900000,3,30
COHA,7,1937,0.933333,2,30
COHA,7,1942,0.933333,2,30
COHA,7,1947,0.900000,3,30
COHA,7,1952,0.900000,3,30
COHA,7,1957,0.966667,1,30
COHA,7,1962,0.900000,3,30
COHA,7,1967,0.800000,6,30
COHA,7,1972,0.866667,4,30
COHA,7,1977,0.900000,3,30
COHA,7,1982,0.833333,5,30
COHA,7,1987,0.933333,2,30
COHA,7,1992,0.933333,2,30
COHA,7,1997,0.866667,4,30
COHA,7,2002,0.933333,2,30
COHA,7,2007,0.933333,2,30
COHA,7,2012,0.900000,3,30
COHA,7,2017,0.900000,3,30
COHA,8,1922,0.966667,1,30
COHA,8,1927,1.000000,0,30
COHA,8,1932,0.966667,1,30
COHA,8,1937,0.966667,1,30
COHA,8,1942,0.900000,3,30
COHA,8,1947,0.900000,3,30
COHA,8,1952,0.933333,2,30
COHA,8,1957,0.966667,1,30
COHA,8,1962,0.966667,1,30
COHA,8,1967,0.966667,1,30
COHA,8,1972,0.966667,1,30
COHA,8,1977,0.933333,2,30
COHA,8,1982,0.933333,2,30
COHA,8,1987,1.000000,0,30
COHA,8,1992,1.000000,0,30
COHA,8,1997,1.000000,0,30
COHA,8,2002,1.000000,0,30
COHA,8,2007,0.933333,2,30
COHA,8,2012,0.933333,2,30
COHA,8,2017,1.000000,0,30
COHA,9,1922,0.966667,1,30
COHA,9,1927,0.900000,3,30
COHA,9,1932,0.866667,4,30
COHA,9,1937,0.800000,6,30
COHA,9,1942,0.966667,1,30
COHA,9,1947,0.900000,3,30
COHA,9,1952,0.900000,3,30
COHA,9,1957,0.900000,3,30
COHA,9,1962,0.933333,2,30
COHA,9,1967,0.833333,5,30
COHA,9,1972,1.000000,0,30
COHA,9,1977,0.866667,4,30
COHA,9,1982,0.900000,3,30
COHA,9,1987,0.833333,5,30
COHA,9,1992,0.866667,4,30
COHA,9,1997,0.900000,3,30
COHA,9,2002,0.900000,3,30
COHA,9,2007,0.766667,7,30
COHA,9,2012,0.933333,2,30
COHA,9,2017,0.800000,6,30
COHA,10,1922,0.933333,2,30
COHA,10,1927,0.966667,1,30
COHA,10,1932,0.933333,2,30
COHA,10,1937,0.933333,2,30
COHA,10,1942,0.933333,2,30
COHA,10,1947,0.933333,2,30
COHA,10,1952,0.900000,3,30
COHA,10,1957,0.900000,3,30
COHA,10,1962,0.966667,1,30
COHA,10,1967,0.900000,3,30
COHA,10,1972,0.933333,2,30
COHA,10,1977,0.900000,3,30
COHA,10,1982,0.900000,3,30
COHA,10,1987,0.966667,1,30
COHA,10,1992,0.866667,4,30
COHA,10,1997,0.833333,5,30
COHA,10,2002,0.833333,5,30
COHA,10,2007,0.900000,3,30
COHA,10,2012,0.933333,2,30
COHA,10,2017,0.966667,1,30
COHA,11,1922,0.900000,3,30
COHA,11,1927,0.833333,5,30
COHA,11,1932,0.866667,4,30
COHA,11,1937,0.866667,4,30
COHA,11,1942,0.833333,5,30
COHA,11,1947,0.866667,4,30
COHA,11,1952,0.833333,5,30
COHA,11,1957,0.866667,4,30
COHA,11,1962,0.900000,3,30
COHA,11,1967,0.900000,3,30
COHA,11,1972,0.866667,4,30
COHA,11,1977,0.733333,8,30
COHA,11,1982,0.766667,7,30
COHA,11,1987,0.866667,4,30
COHA,11,1992,0.833333,5,30
COHA,11,1997,0.766667,7,30
COHA,11,2002,0.866667,4,30
COHA,11,2007,0.766667,7,30
COHA,11,2012,0.833333,5,30
COHA,11,2017,0.800000,6,30
COHA,12,1922,0.966667,1,30
COHA,12,1927,0.933333,2,30
COHA,12,1932,0.900000,3,30
COHA,12,1937,0.933333,2,30
COHA,12,1942,0.933333,2,30
COHA,12,1947,0.900000,3,30
COHA,12,1952,0.933333,2,30
COHA,12,1957,0.900000,3,30
COHA,12,1962,0.966667,1,30
COHA,12,1967,0.866667,4,30
COHA,12,1972,0.900000,3,30
COHA,12,1977,0.966667,1,30
COHA,12,1982,0.866667,4,30
COHA,12,1987,0.933333,2,30
COHA,12,1992,0.933333,2,30
COHA,12,1997,0.933333,2,30
COHA,12,2002,0.900000,3,30
COHA,12,2007,0.900000,3,30
COHA,12,2012,0.933333,2,30
COHA,12,2017,0.966667,1,30
COHA,13,1922,0.833333,5,30
COHA,13,1927,0.833333,5,30
COHA,13,1932,0.833333,5,30
COHA,13,1937,0.866667,4,30
COHA,13,1942,0.800000,6,30
COHA,13,1947,0.733333,8,30
COHA,13,1952,0.733333,8,30
COHA,13,1957,0.733333,8,30
COHA,13,1962,0.733333,8,30
COHA,13,1967,0.900000,3,30
COHA,13,1972,0.833333,5,30
COHA,13,1977,0.800000,6,30
COHA,13,1982,0.800000,6,30
COHA,13,1987,0.800000,6,30
COHA,13,1992,0.766667,7,30
COHA,13,1997,0.833333,5,30
COHA,13,2002,0.733333,8,30
COHA,13,2007,0.766667,7,30
COHA,13,2012,0.733333,8,30
COHA,13,2017,0.866667,4,30
COHA,14,1922,0.766667,7,30
COHA,14,1927,0.633333,11,30
COHA,14,1932,0.466667,16,30
COHA,14,1937,0.833333,5,30
COHA,14,1942,0.766667,7,30
COHA,14,1947,0.900000,3,30
COHA,14,1952,0.733333,8,30
COHA,14,1957,0.733333,8,30
COHA,14,1962,0.733333,8,30
COHA,14,1967,0.733333,8,30
COHA,14,1972,0.466667,16,30
COHA,14,1977,0.733333,8,30
COHA,14,1982,0.500000,15,30
COHA,14,1987,0.433333,17,30
COHA,14,1992,0.766667,7,30
COHA,14,1997,0.700000,9,30
COHA,14,2002,0.800000,6,30
COHA,14,2007,0.500000,15,30
COHA,14,2012,0.400000,18,30
COHA,14,2017,0.666667,10,30
COHA,15,1922,0.866667,4,30
COHA,15,1927,0.833333,5,30
COHA,15,1932,0.900000,3,30
COHA,15,1937,0.866667,4,30
COHA,15,1942,0.733333,8,30
COHA,15,1947,0.900000,3,30
COHA,15,1952,0.866667,4,30
COHA,15,1957,0.966667,1,30
COHA,15,1962,0.900000,3,30
COHA,15,1967,0.933333,2,30
COHA,15,1972,0.933333,2,30
COHA,15,1977,0.900000,3,30
COHA,15,1982,0.966667,1,30
COHA,15,1987,0.966667,1,30
COHA,15,1992,0.933333,2,30
COHA,15,1997,0.833333,5,30
COHA,15,2002,0.933333,2,30
COHA,15,2007,0.933333,2,30
COHA,15,2012,0.900000,3,30
COHA,15,2017,0.933333,2,30
COHA,16,1922,0.900000,3,30
COHA,16,1927,0.933333,2,30
COHA,16,1932,0.900000,3,30
COHA,16,1937,0.866667,4,30
COHA,16,1942,0.933333,2,30
COHA,16,1947,0.900000,3,30
COHA,16,1952,0.900000,3,30
COHA,16,1957,0.900000,3,30
COHA,16,1962,0.933333,2,30
COHA,16,1967,0.900000,3,30
COHA,16,1972,0.966667,1,30
COHA,16,1977,0.933333,2,30
COHA,16,1982,0.933333,2,30
COHA,16,1987,0.933333,2,30
COHA,16,1992,0.900000,3,30
COHA,16,1997,0.966667,1,30
COHA,16,2002,0.833333,5,30
COHA,16,2007,0.966667,1,30
COHA,16,2012,0.833333,5,30
COHA,16,2017,0.933333,2,30
COHA,17,1922,0.933333,2,30
COHA,17,1927,0.966667,1,30
COHA,17,1932,1.000000,0,30
COHA,17,1937,0.966667,1,30
COHA,17,1942,0.966667,1,30
COHA,17,1947,0.966667,1,30
COHA,17,1952,0.966667,1,30
COHA,17,1957,0.933333,2,30
COHA,17,1962,0.933333,2,30
COHA,17,1967,0.966667,1,30
COHA,17,1972,0.966667,1,30
COHA,17,1977,0.966667,1,30
COHA,17,1982,0.933333,2,30
COHA,17,1987,0.933333,2,30
COHA,17,1992,0.900000,3,30
COHA,17,1997,0.933333,2,30
COHA,17,2002,0.933333,2,30
COHA,17,2007,0.866667,4,30
COHA,17,2012,0.733333,8,30
COHA,17,2017,0.800000,6,30
COHA,18,1922,0.966667,1,30
COHA,18,1927,0.966667,1,30
COHA,18,1932,0.933333,2,30
COHA,18,1937,0.900000,3,30
