combo,anchor,smooth,epochs,source,TD,TC_pmi,TC_npmi,TQ_pmi,TQ_npmi,ckpt
a1e-03_s1e-03_e20,0.001,0.001,20,COHA,0.4610999999999999,0.14262409708664964,0.08070485116849191,0.06576397116665414,0.03721300687379161,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-03_s1e-03_e20_20260501_134333/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-03_s1e-03_e20,0.001,0.001,20,HBR,0.44659999999999994,0.21477002954671218,-0.021690540747671343,0.09591629519556165,-0.00968699549791002,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-03_s1e-03_e20_20260501_134333/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-03_s1e-03_e20,0.001,0.001,20,ILR,0.4335,0.1489720466444055,-0.05007856813872573,0.06457938222034978,-0.021709059288137603,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-03_s1e-03_e20_20260501_134333/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a3e-04_s3e-04_e20,0.0003,0.0003,20,COHA,0.48450000000000004,0.19057523332068066,0.08321368630758726,0.09233370054386979,0.04031703101602603,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a3e-04_s3e-04_e20_20260501_140344/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a3e-04_s3e-04_e20,0.0003,0.0003,20,HBR,0.40370000000000006,0.11803739372517956,0.06567512979953317,0.047651695846855,0.026513049900071545,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a3e-04_s3e-04_e20_20260501_140344/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a3e-04_s3e-04_e20,0.0003,0.0003,20,ILR,0.38760000000000006,-0.019935684752638384,0.04318170270884411,-0.007727071410122639,0.01673722796994798,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a3e-04_s3e-04_e20_20260501_140344/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-04_s1e-04_e20,0.0001,0.0001,20,COHA,0.46840000000000004,0.18546795983652062,0.08105332983568367,0.08687319238742626,0.03796537969503423,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-04_s1e-04_e20_20260501_142335/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-04_s1e-04_e20,0.0001,0.0001,20,HBR,0.37929999999999997,0.11909079297545062,0.06744559633966754,0.04517113777558842,0.025582114691635897,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-04_s1e-04_e20_20260501_142335/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-04_s1e-04_e20,0.0001,0.0001,20,ILR,0.34559999999999996,0.06165395787846297,0.056885313541824946,0.0213076078427968,0.0196595643600547,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-04_s1e-04_e20_20260501_142335/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-03_s1e-03_e40,0.001,0.001,40,COHA,0.4610999999999999,0.14262409708664964,0.08070485116849191,0.06576397116665414,0.03721300687379161,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-03_s1e-03_e40_20260501_144316/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-03_s1e-03_e40,0.001,0.001,40,HBR,0.44659999999999994,0.21477002954671218,-0.021690540747671343,0.09591629519556165,-0.00968699549791002,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-03_s1e-03_e40_20260501_144316/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-03_s1e-03_e40,0.001,0.001,40,ILR,0.4335,0.1489720466444055,-0.05007856813872573,0.06457938222034978,-0.021709059288137603,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-03_s1e-03_e40_20260501_144316/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a3e-04_s3e-04_e40,0.0003,0.0003,40,COHA,0.48450000000000004,0.19057523332068066,0.08321368630758726,0.09233370054386979,0.04031703101602603,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a3e-04_s3e-04_e40_20260501_152313/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a3e-04_s3e-04_e40,0.0003,0.0003,40,HBR,0.40370000000000006,0.11803739372517956,0.06567512979953317,0.047651695846855,0.026513049900071545,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a3e-04_s3e-04_e40_20260501_152313/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a3e-04_s3e-04_e40,0.0003,0.0003,40,ILR,0.38760000000000006,-0.019935684752638384,0.04318170270884411,-0.007727071410122639,0.01673722796994798,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a3e-04_s3e-04_e40_20260501_152313/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-04_s1e-04_e40,0.0001,0.0001,40,COHA,0.46840000000000004,0.18546795983652062,0.08105332983568367,0.08687319238742626,0.03796537969503423,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-04_s1e-04_e40_20260501_160325/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-04_s1e-04_e40,0.0001,0.0001,40,HBR,0.37929999999999997,0.11909079297545062,0.06744559633966754,0.04517113777558842,0.025582114691635897,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-04_s1e-04_e40_20260501_160325/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
a1e-04_s1e-04_e40,0.0001,0.0001,40,ILR,0.34559999999999996,0.06165395787846297,0.056885313541824946,0.0213076078427968,0.0196595643600547,/shared/share_hbr-ilr_nlp/detm_source_adapted_5year/ablate_a1e-04_s1e-04_e40_20260501_160325/detm_merged_K_20_Htheta_800_Optim_adam_Clip_2.0_ThetaAct_relu_Lr_1e-05_Bsz_500_RhoSize_300_L_3_minDF_100_trainEmbeddings_1_lora_r8.pt
